Date,ARKB Close,ARKB Volume,BTC Close,NAV Estimate,Premium/Discount (bps),Cost (bps),Create Signal,Redeem Signal,Spread Captured (bps),P&L Per Trade (USD)
2025-07-24,39.5700,1205500,118368.00,35.8655,1032.89,17.37,true,false,1015.51,20091.93
2025-07-25,38.8300,1806400,117635.88,35.6437,893.94,17.59,true,false,876.35,17014.35
2025-07-28,39.2500,1557400,117924.48,35.7311,984.82,17.46,true,false,967.36,18984.41
2025-07-29,39.0500,1832800,117922.15,35.7304,929.07,17.52,true,false,911.54,17797.85
2025-07-30,38.8400,1852900,117831.19,35.7028,878.68,17.59,true,false,861.10,16722.51
2025-07-31,38.7800,1865400,115758.20,35.0747,1056.39,17.60,true,false,1038.79,20142.08
2025-08-01,37.5900,4704800,113320.09,34.3360,947.70,17.97,true,false,929.73,17474.21
2025-08-04,38.1300,1276000,115071.88,34.8668,935.91,17.80,true,false,918.11,17503.76
2025-08-05,37.7900,1656000,114141.45,34.5849,926.75,17.91,true,false,908.84,17172.52
2025-08-06,38.3200,1224300,115028.00,34.8535,994.60,17.74,true,false,976.85,18716.51
2025-08-07,39.1000,1835300,117496.90,35.6016,982.66,17.51,true,false,965.16,18868.79
2025-08-08,38.7100,1674500,116688.73,35.3567,948.42,17.62,true,false,930.80,18015.63
2025-08-11,39.5500,1446700,118731.45,35.9756,993.55,17.38,true,false,976.18,19303.87
2025-08-12,39.7500,2911500,120172.91,36.4124,916.61,17.32,true,false,899.29,17873.45
2025-08-13,40.8400,3130800,123344.06,37.3733,927.60,17.02,true,false,910.58,18594.11
2025-08-14,39.2500,4132900,118359.58,35.8630,944.44,17.46,true,false,926.98,18191.92
2025-08-15,38.8800,2254100,117398.35,35.5717,930.04,17.57,true,false,912.46,17738.28
2025-08-18,38.6600,1455000,116252.31,35.2245,975.33,17.64,true,false,957.69,18512.16
2025-08-19,37.5800,2792500,112831.18,34.1878,992.21,17.97,true,false,974.24,18305.90
2025-08-20,37.9900,1958400,114274.74,34.6252,971.76,17.85,true,false,953.92,18119.68
2025-08-21,37.2700,2258300,112419.03,34.0630,941.50,18.07,true,false,923.43,17208.07
2025-08-22,38.7800,3781800,116874.09,35.4128,950.83,17.60,true,false,933.22,18095.20
2025-08-25,36.8200,2470400,110124.35,33.3677,1034.63,18.22,true,false,1016.41,18712.08
2025-08-26,36.9400,2699400,111802.66,33.8762,904.41,18.18,true,false,886.23,16368.61
2025-08-27,37.2500,2165000,111222.06,33.7003,1053.32,18.08,true,false,1035.24,19281.32
2025-08-28,37.2000,1624000,112544.80,34.1011,908.75,18.10,true,false,890.65,16566.09
2025-08-29,35.9600,4235100,108410.84,32.8485,947.23,18.51,true,false,928.72,16698.36
2025-09-02,36.8300,2744100,111200.59,33.6938,930.80,18.22,true,false,912.58,16805.23
2025-09-03,37.3000,1811000,111723.21,33.8521,1018.51,18.06,true,false,1000.44,18658.27
2025-09-04,36.4900,1609700,110723.60,33.5493,876.55,18.33,true,false,858.22,15658.14
2025-09-05,37.1000,1959900,110650.98,33.5272,1065.63,18.13,true,false,1047.50,19431.06
2025-09-08,37.2500,2089200,112071.43,33.9576,969.55,18.08,true,false,951.47,17721.08
2025-09-09,36.9900,2128200,111530.55,33.7938,945.81,18.17,true,false,927.64,17156.78
2025-09-10,37.7400,2791600,113955.36,34.5285,930.11,17.92,true,false,912.19,17212.96
2025-09-11,38.0500,1733300,115507.54,34.9988,871.81,17.83,true,false,853.98,16246.96
2025-09-12,38.8600,1324300,116101.58,35.1788,1046.43,17.58,true,false,1028.85,19990.61
2025-09-15,38.3400,2205400,115444.88,34.9798,960.61,17.74,true,false,942.88,18074.92
2025-09-16,38.8500,1664800,116843.19,35.4035,973.50,17.58,true,false,955.91,18568.60
2025-09-17,38.4400,2971500,116468.51,35.2900,892.62,17.71,true,false,874.91,16815.77
2025-09-18,39.0400,1397800,117137.20,35.4926,999.48,17.53,true,false,981.96,19167.82
2025-09-19,38.2500,1765600,115688.86,35.0537,911.82,17.76,true,false,894.06,17098.85
2025-09-22,37.2700,2017000,112748.51,34.1628,909.53,18.07,true,false,891.45,16612.25
2025-09-23,37.0900,1190300,112014.50,33.9404,927.98,18.13,true,false,909.85,16873.15
2025-09-24,37.7100,911500,113328.63,34.3386,981.82,17.93,true,false,963.88,18174.05
2025-09-25,36.3400,4553700,109049.29,33.0419,998.15,18.38,true,false,979.76,17802.28
2025-09-26,36.2800,1865800,109712.83,33.2430,913.58,18.40,true,false,895.18,16238.50
2025-09-29,38.0200,3572100,114400.38,34.6633,968.37,17.84,true,false,950.53,18069.62
2025-09-30,38.0200,1850600,114056.09,34.5590,1001.48,17.84,true,false,983.64,18699.03
2025-10-01,39.0500,2812200,118648.93,35.9506,862.12,17.52,true,false,844.60,16490.73
2025-10-02,40.2050,2493300,120681.26,36.5664,995.06,17.19,true,false,977.87,19657.59
2025-10-03,40.8300,3650000,122266.53,37.0468,1021.21,17.02,true,false,1004.19,20500.46
2025-10-06,41.7000,2426100,124752.53,37.8000,1031.74,16.79,true,false,1014.95,21161.71
2025-10-07,40.4100,4280600,121451.38,36.7998,981.05,17.14,true,false,963.91,19475.83
2025-10-08,41.0100,1830600,123354.87,37.3765,972.13,16.97,true,false,955.15,19585.44
2025-10-09,40.2200,3367200,121705.59,36.8768,906.59,17.19,true,false,889.40,17885.84
2025-10-10,38.7400,6490400,113214.37,34.3040,1293.16,17.62,true,false,1275.54,24707.28
2025-10-13,38.5100,4750100,115271.08,34.9271,1025.81,17.69,true,false,1008.13,19411.45
2025-10-14,37.4300,3950300,113118.66,34.2750,920.51,18.02,true,false,902.49,16890.06
2025-10-15,36.9800,2983600,110783.16,33.5673,1016.67,18.17,true,false,998.51,18462.37
2025-10-16,35.9500,5910100,108186.04,32.7804,966.93,18.52,true,false,948.41,17047.71
2025-10-17,35.3800,7346000,106467.79,32.2597,967.23,18.72,true,false,948.51,16779.17
2025-10-20,36.8500,3991100,110588.93,33.5084,997.23,18.21,true,false,979.02,18038.36
2025-10-21,37.1800,6569600,108476.89,32.8685,1311.74,18.10,true,false,1293.64,24048.76
2025-10-22,35.8250,4166000,107688.59,32.6296,979.28,18.56,true,false,960.72,17208.90
2025-10-23,36.6300,3459600,110069.73,33.3511,983.14,18.29,true,false,964.85,17671.27
2025-10-24,36.7400,3087900,111033.92,33.6433,920.46,18.25,true,false,902.21,16573.60
2025-10-27,38.1800,2606300,114119.33,34.5782,1041.65,17.79,true,false,1023.87,19545.62
2025-10-28,37.7500,2660500,112956.16,34.2257,1029.72,17.92,true,false,1011.80,19097.67
2025-10-29,36.7300,6344700,110055.30,33.3468,1014.56,18.25,true,false,996.31,18297.28
2025-10-30,35.3300,4770400,108305.55,32.8166,765.90,18.74,true,false,747.16,13198.63
2025-10-31,36.4800,4315100,109556.16,33.1955,989.44,18.34,true,false,971.10,17712.86
2025-11-03,35.3900,3558000,106547.52,32.2839,962.12,18.72,true,false,943.40,16693.55
2025-11-04,33.4500,8393800,101590.52,30.7819,866.77,19.45,true,false,847.31,14171.31
2025-11-05,34.5000,2786800,103891.84,31.4792,959.61,19.04,true,false,940.57,16224.75
2025-11-06,33.5100,4864600,101301.29,30.6943,917.34,19.43,true,false,897.91,15044.49
2025-11-07,34.4900,3929500,103372.41,31.3218,1011.49,19.05,true,false,992.44,17114.62
2025-11-10,35.2100,4065600,105996.59,32.1170,963.05,18.78,true,false,944.27,16623.90
2025-11-11,34.1400,2051600,102997.47,31.2082,939.42,19.18,true,false,920.24,15708.49
2025-11-12,33.7300,4193600,101663.19,30.8039,949.90,19.34,true,false,930.55,15693.80
2025-11-13,32.5500,7899800,99697.49,30.2083,775.17,19.82,true,false,755.34,12293.24
2025-11-14,31.3100,7608100,94397.79,28.6025,946.58,20.37,true,false,926.21,14499.84
2025-11-17,30.4900,15773100,92093.88,27.9044,926.57,20.76,true,false,905.82,13809.16
2025-11-18,30.8200,8617800,92948.88,28.1635,943.24,20.60,true,false,922.64,14217.84
2025-11-19,29.7000,6933000,91465.99,27.7142,716.53,21.15,true,false,695.38,10326.37
2025-11-20,28.6700,9105600,86631.90,26.2495,922.13,21.70,true,false,900.43,12907.68
2025-11-21,28.0600,12091000,85090.69,25.7825,883.36,22.04,true,false,861.32,12084.36
2025-11-24,29.5900,4317200,88270.56,26.7460,1063.34,21.21,true,false,1042.14,15418.42
2025-11-25,29.0100,6176700,87341.89,26.4646,961.82,21.51,true,false,940.30,13639.11
2025-11-26,29.8600,3700100,90518.37,27.4271,887.06,21.07,true,false,865.99,12929.17
2025-11-28,30.1400,4495900,90919.27,27.5485,940.69,20.93,true,false,919.76,13860.77
2025-12-01,28.3900,8079800,86321.57,26.1554,854.34,21.85,true,false,832.49,11817.19
2025-12-02,30.2600,4850400,91350.20,27.6791,932.43,20.87,true,false,911.56,13791.91
2025-12-03,30.8900,5359500,93527.80,28.3389,900.20,20.57,true,false,879.63,13585.94
2025-12-04,30.7300,4217600,92141.63,27.9189,1006.88,20.64,true,false,986.23,15153.45
2025-12-05,29.6800,6034300,89387.76,27.0845,958.30,21.16,true,false,937.14,13907.15
2025-12-08,30.1500,3540300,90640.20,27.4640,978.01,20.93,true,false,957.09,14428.12
2025-12-09,30.9200,3302700,92691.71,28.0856,1009.21,20.55,true,false,988.65,15284.55
2025-12-10,30.7200,2699200,92020.95,27.8823,1017.72,20.65,true,false,997.08,15315.08
2025-12-11,30.4700,4306700,92511.34,28.0309,870.13,20.77,true,false,849.36,12940.07
2025-12-12,29.9500,2174400,90270.41,27.3519,949.87,21.03,true,false,928.84,13909.38
2025-12-15,28.4800,7348100,86419.78,26.1852,876.38,21.80,true,false,854.57,12169.14
2025-12-16,29.0600,5891800,87843.98,26.6167,917.95,21.49,true,false,896.46,13025.58
2025-12-17,28.5100,7001400,86143.76,26.1016,922.72,21.78,true,false,900.94,12842.84
2025-12-18,28.0900,6778300,85462.51,25.8951,847.60,22.02,true,false,825.58,11595.21
2025-12-19,29.2100,3419600,88103.38,26.6953,941.99,21.41,true,false,920.58,13445.14
2025-12-22,29.3100,3082900,88490.02,26.8125,931.48,21.35,true,false,910.13,13337.89
2025-12-23,29.1000,3147000,87414.00,26.4864,986.75,21.46,true,false,965.29,14044.96
2025-12-24,28.9700,1922200,87611.96,26.5464,912.96,21.53,true,false,891.42,12912.28
2025-12-26,29.0500,2482400,87301.43,26.4523,982.02,21.49,true,false,960.53,13951.66
2025-12-29,28.9100,1799300,87138.14,26.4029,949.57,21.57,true,false,928.01,13414.34
